,Synonyms,Glossary,Synset in hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,A1_Label,Label,A3_Label,A1_Familiar,Familiar,A3_Familiar,A1_Unfamiliar,UnfamiliarANDunsure,A3_Unfamiliar,A1_Notes,Notes,A3_Notes
178,greengage greengage_plum,sweet green or greenish-yellow variety of plum,,,"[Synset('greengage.n.01')],",,,l,l,l,yes,,,,,,,,
179,sloe,small sour dark purple fruit of especially the Allegheny plum bush,,,"[Synset('sloe.n.03')],",,,l,l,l,yes,,,,,,,,
180,Victoria_plum,a large red plum served as dessert,,,"[Synset('victoria_plum.n.01')]],",,,l,l,l,yes,,,,,,,,
181,plumcot,hybrid between plum and apricot,,"[Synset('plumcot.n.02')],",,,,l,b,l,no,,,,,,hybrid between plum and apricot,,Googled and looked like plum
182,pomegranate,large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind,,"[Synset('pomegranate.n.02')],",,,,b,b,b,yes,,,,,,,,
183,prickly_pear,round or pear-shaped spiny fruit of any of various prickly pear cacti,,"[Synset('prickly_pear.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me. not a pear,,Googled and looked alike
184,pulasan pulassan,fruit of an East Indian tree similar to the rambutan but sweeter,,"[Synset('pulasan.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me. Similar to rambutan.,,Googled and looked alike
185,quandong quandang quantong native_peach,red Australian fruit; used for dessert or in jam,,"[Synset('quandong.n.04')],",,,,b,b,b,no,,,x,,,unknown to me,,Googled and looked alike
186,quince,aromatic acid-tasting pear-shaped fruit used in preserves,,"[Synset('quince.n.02')],",,,,b,b,b,no,n,,,,,"same family as apples and pears, but it is not an apple nor a pear",,
187,rambutan rambotan,pleasantly acid bright red oval Malayan fruit covered with soft spines,,"[Synset('rambutan.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me. Similar to the pulasan,,Googled and looked alike
188,rose_apple,fragrant oval yellowish tropical fruit used in jellies and confections,,"[Synset('rose_apple.n.02')],",,,,b,b,l,no,n,,x,,,unknown to me. Not an apple.,,Not sure as it looks like 166
189,sapodilla sapodilla_plum sapota,tropical fruit with a rough brownish skin and very sweet brownish pulp,,"[Synset('sapodilla.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and looked alike
190,sapote mammee marmalade_plum,brown oval fruit flesh makes excellent sherbet,,"[Synset('sapote.n.02')],",,,,h,b,l,no,n,,x,,,unknown to me,,Not sure as it looks like another one I looked up before but can't remember
191,sorb sorb_apple,acid gritty-textured fruit,,"[Synset('sorb.n.01')],",,,,b,b,l,no,n,,x,,,unknown to me,,Googled and looked different
192,sour_gourd monkey_bread,African gourd-like fruit with edible pulp,,"[Synset('sour_gourd.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and looked alike
193,sour_gourd,acid-tasting Australian gourd-like fruit with a woody rind and large seeds,,"[Synset('sour_gourd.n.03')],",,,,b,b,X,no,n,,x,,,unknown to me,,Duplicate
194,tamarind tamarindo,large tropical seed pod with very tangy pulp that is eaten fresh or cooked with rice and fish or preserved for curries and chutneys,,"[Synset('tamarind.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,
195,tangelo ugli ugli_fruit,large sweet juicy hybrid between tangerine and grapefruit having a thick wrinkled skin,,"[Synset('tangelo.n.02')],",,,,l,b,l,no,n,,,,,hybrid,,because it's hybrid
196,windfall,fruit that has fallen from the tree,,[Synset('windfall.n.01')]],,,,h,h,h,yes,,,,,,,,
