,Synonyms,Glossary,Synset in Hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label,A2_Label,A3_Label,Familiar,A2_Familiar,A3_Familiar,UnfamiliarANDunsure,A2_Unfamiliar,A3_Unfamiliar,Notes,A2_Notes,A3_Notes
163,post_horn ,wind instrument used by postilions of the 18th and 19th centuries,,,[Synset('post_horn.n.01')],,,,,,l,b,b,,n,,,,,I miss a concept 'horn' which I would call basic level,,Googled and looked alike
164,whistle ,a small wind instrument that produces a whistling sound by blowing into it,,,[Synset('whistle.n.03')],,,,,,b,b,b,,y,,,,,,,
165,woodwind woodwind_instrument wood ,any wind instrument other than the brass instruments,,,[Synset('woodwind.n.01'),,,,,,h,h,h,,y,,,,,,,
166,beating-reed_instrument reed_instrument reed ,a musical instrument that sounds by means of a vibrating reed,,,,[Synset('beating-reed_instrument.n.01'),,,,,h,h,h,,y,,,,,,,
167,double-reed_instrument double_reed ,a woodwind that has a pair of joined reeds that vibrate together,,,,,[Synset('double-reed_instrument.n.01'),,,,h,h,h,,y,,,,,,,
168,bassoon ,a double-reed instrument; the tenor of the oboe family,,,,,,[Synset('bassoon.n.01'),,,l,b,b,no,y,,x,,,,,Googled and looked alike
169,contrabassoon contrafagotto double_bassoon ,the bassoon that is the largest instrument in the oboe family,,,,,,,[Synset('contrabassoon.n.01')],,l,l,l,no,n,,,,,,,
170,tenoroon ,a tenor bassoon; pitched a fifth higher than the ordinary bassoon,,,,,,,[Synset('tenoroon.n.01')]],,l,l,l,no,n,,,,,,,
171,English_horn cor_anglais ,a double-reed woodwind instrument similar to an oboe but lower in pitch,,,,,,[Synset('english_horn.n.01')],,,l,b,b,no,n,,x,,,,,Googled and looked alike
172,krummhorn crumhorn cromorne ,a Renaissance woodwind with a double reed and a curving tube (crooked horn),,,,,,[Synset('krummhorn.n.01')],,,l,b,b,no,n,,x,,,,,Googled and looked alike
173,oboe hautboy hautbois ,a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece,,,,,,[Synset('oboe.n.01'),,,b,b,b,,n,,,,,,,Googled and looked alike
174,heckelphone basset_oboe ,an oboe pitched an octave below the ordinary oboe,,,,,,,[Synset('heckelphone.n.01')],,l,l,l,,n,,,,,,,
175,musette_pipe ,a small simple oboe,,,,,,,[Synset('musette_pipe.n.01')],,l,l,l,,n,,,,,,,
176,oboe_d'amore ,an oboe pitched a minor third lower than the ordinary oboe; used to perform baroque music,,,,,,,[Synset('oboe_d'amore.n.01')],,l,l,l,,n,,,,,,,
177,oboe_da_caccia ,an alto oboe; precursor of the English horn,,,,,,,[Synset('oboe_da_caccia.n.01')],,l,l,l,,n,,,,,,,
178,shawm ,a medieval oboe,,,,,,,[Synset('shawm.n.01'),,l,l,l,,n,,,,,,,
179,bombardon bombard ,a large shawm; the bass member of the shawm family,,,,,,,,[Synset('bombardon.n.02')]]]],X,l,X,,n,,,,,,,
180,free-reed ,a reed that does not fit closely over the aperture,,,,,[Synset('free-reed.n.01')],,,,l,h,h,,y,,,,,not a hyponym of musical instrument?,,
181,single-reed_instrument single-reed_woodwind ,a beating-reed instrument with a single reed (as a clarinet or saxophone),,,,,[Synset('single-reed_instrument.n.01'),,,,h,h,h,,y,,,,,,,
182,clarinet ,a single-reed instrument with a straight tube,,,,,,[Synset('clarinet.n.01'),,,b,b,b,,y,,,,,,,
183,B-flat_clarinet licorice_stick ,the ordinary clarinet with a middle range,,,,,,,[Synset('b-flat_clarinet.n.01')],,l,l,l,,n,,,,,,,
184,bass_clarinet ,a large clarinet whose range is an octave below the B-flat clarinet,,,,,,,[Synset('bass_clarinet.n.01')],,l,l,l,,n,,,,,,,
185,basset_horn ,a tenor clarinet; pitched in the key of F below the B-flat clarinet,,,,,,,[Synset('basset_horn.n.01')]],,l,l,l,,n,,,,,,,
186,hornpipe pibgorn stockhorn ,an ancient (now obsolete) single-reed woodwind; usually made of bone,,,,,,[Synset('hornpipe.n.03')],,,b,b,X,no,n,,x,,X,,,"If this is obsolete, should be taken out of the study"
187,sax saxophone ,a single-reed woodwind with a conical bore,,,,,,[Synset('sax.n.02')]]],,,b,b,b,,y,,,,,,,
188,flute transverse_flute ,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,,,,[Synset('flute.n.01'),,,,,b,b,b,,y,,,,,,,"When I google, it does not look basic level as there is some distinct variation, but I understand this as basic level when I look at the below 3"
189,fife ,a small high-pitched flute similar to a piccolo; has a shrill tone and is used chiefly to accompany drums in a marching band,,,,,[Synset('fife.n.01')],,,,l,l,l,,n,,,,,,,
190,nose_flute ,a flute that is played by blowing through the nostrils (used in some Asian countries),,,,,[Synset('nose_flute.n.01')],,,,l,l,l,,y,,,,,,,
191,piccolo ,a small flute; pitched an octave above the standard flute,,,,,[Synset('piccolo.n.01')]]]]],,,,l,l,l,,y,,,,,,,
