Synonyms,Glossary,Synset in hierarchy,,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes
cagoule,lightweight parka; waterproof,,,,,,"[Synset('cagoule.n.01')],",,,,,l,,,,
blazer sport_jacket sport_coat sports_jacket sports_coat,lightweight single-breasted jacket; often striped in the colors of a club or school,,,,,"[Synset('blazer.n.01')],",,,,,,l,,,,
nightgown gown nightie night-robe nightdress,lingerie consisting of a loose dress designed to be worn in bed by women,,,,,"[Synset('nightgown.n.01')],",,,,,,l,,,,
ulster,loose long overcoat of heavy fabric; usually belted,,,,,"[Synset('ulster.n.02')]],",,,,,,l,,,,
Norfolk_jacket,loose-fitting single-breasted jacket,,,,,"[Synset('norfolk_jacket.n.01')],",,,,,,l,,,,
sweat_pants sweatpants,loose-fitting trousers with elastic cuffs; worn by athletes,,,"[Synset('sweat_pants.n.01')],",,,,,,,,b,,,,
hose,man's close-fitting garment of the 16th and 17th centuries covering the legs and reaching up to the waist; worn with a doublet,,"[Synset('hose.n.02')],",,,,,,,,,l,,,,
sack_coat,man's hiplength coat with a straight back; the jacket of a suit,,,,"[Synset('sack_coat.n.01')],",,,,,,,l,,,,
plus_fours,men's baggy knickers hanging below the knees; formerly worn for sports (especially golf),,,,"[Synset('plus_fours.n.01')],",,,,,,,l,,,,
Skivvies,men's underwear consisting of cotton T-shirt and shorts,,,,"[Synset('skivvies.n.01')]]],",,,,,,,l,,,,
old_school_tie,necktie indicating the school the wearer attended,,,,"[Synset('old_school_tie.n.01')],",,,,,,,l,,,,
necktie tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,,,"[Synset('necktie.n.01'),",,,,,,,,l,,,,
cravat,neckwear worn in a slipknot with long ends overlapping vertically in front,,,"[Synset('cravat.n.01'),",,,,,,,,b,,,,
jump_suit jumpsuit,one-piece garment fashioned after a parachutist's uniform,,"[Synset('jump_suit.n.01')],",,,,,,,,,b,,,,
hand-me-down,outgrown garment passed down from one person to another,,"[Synset('hand-me-down.n.01')],",,,,,,,,,h,x,,,
gown surgical_gown scrubs,protective garment worn by surgeons during operations,,"[Synset('gown.n.04')],",,,,,,,,,l,,,,
trunk_hose,puffed breeches of the 16th and 17th centuries usually worn over hose,,,,"[Synset('trunk_hose.n.01')]],",,,,,,,l,,,,
mantelet mantilla,short cape worn by women,,,,,"[Synset('mantelet.n.02')],",,,,,,l,,,,
Bermuda_shorts Jamaica_shorts,short pants that end at the knee,,,,"[Synset('bermuda_shorts.n.01')],",,,,,,,l,,,,
briefs Jockey_shorts,short tight-fitting underpants (trade name Jockey shorts),,,,"[Synset('briefs.n.01')],",,,,,,,l,,,,
pantie panty scanty step-in,short underpants for women or children (usually used in the plural),,,,"[Synset('pantie.n.01')],",,,,,,,l,,,,
hot_pants,skin-tight very short pants worn by young women as an outer garment,,,,"[Synset('hot_pants.n.02')],",,,,,,,l,,,,
bikini_pants,small and tight-fitting underpants; worn by women,,,,"[Synset('bikini_pants.n.01')],",,,,,,,l,,,,
pedal_pusher toreador_pants,snug trousers ending at the calves; worn by women and girls,,,"[Synset('pedal_pusher.n.01')],",,,,,,,,l,,,,
swimming_trunks bathing_trunks,swimsuit worn by men while swimming,,,"[Synset('swimming_trunks.n.01')]],",,,,,,,,b,,,,
silks,the brightly colored garments of a jockey; emblematic of the stable,,"[Synset('silks.n.01')],",,,,,,,,,b,,,,
yashmak yashmac,the face veil worn by Muslim women,,,"[Synset('yashmak.n.01')]],",,,,,,,,l,,,,
swimsuit swimwear bathing_suit swimming_costume bathing_costume,tight fitting garment worn for swimming,,"[Synset('swimsuit.n.01'),",,,,,,,,,b,,,,
churidars,tight trousers worn by people from the Indian subcontinent (typically with a kameez or kurta),,,"[Synset('churidars.n.01')],",,,,,,,,l,,,,
trews,tight-fitting trousers; usually of tartan,,,"[Synset('trews.n.01')]],",,,,,,,,l,,,,
BVD BVD's,trademark for men's underwear,,,,"[Synset('bvd.n.01')],",,,,,,,l,,,,
breeches knee_breeches knee_pants knickerbockers knickers,trousers ending above the knee,,,"[Synset('breeches.n.01'),",,,,,,,,l,,,,
stretch_pants,trousers made of a stretchy fabric,,,"[Synset('stretch_pants.n.01')],",,,,,,,,l,,,,
chino,trousers made with chino cloth,,,"[Synset('chino.n.01')],",,,,,,,,l,,,,
long_trousers long_pants,trousers reaching to the foot,,,"[Synset('long_trousers.n.01')],",,,,,,,,l,,,,
short_pants shorts trunks,trousers that end at or above the knee,,,"[Synset('short_pants.n.01'),",,,,,,,,l,,,,
bellbottom_trousers bell-bottoms bellbottom_pants,trousers with legs that flare; worn by sailors; absurdly wide hems were fashionable in the 1960s,,,"[Synset('bellbottom_trousers.n.01')],",,,,,,,,l,,,,
pantaloon,trousers worn in former times,,,"[Synset('pantaloon.n.03')],",,,,,,,,l,,,,
underwear underclothes underclothing,undergarment worn next to the skin and under the outer garments,,,"[Synset('underwear.n.01'),",,,,,,,,b,,,,
petticoat half-slip underskirt,undergarment worn under a skirt,,,"[Synset('petticoat.n.01'),",,,,,,,,l,,,,
thong,underpants resembling a G-string; worn by women especially under very tight pants,,,,"[Synset('thong.n.02')]],",,,,,,,l,,,,
drawers underdrawers shorts boxers boxershorts,underpants worn by men,,,,"[Synset('drawers.n.01')],",,,,,,,l,,,,
bloomers pants drawers knickers,underpants worn by women,,,,"[Synset('bloomers.n.01')],",,,,,,,l,,,,
ballet_skirt tutu,very short skirt worn by ballerinas,,,"[Synset('ballet_skirt.n.01')],",,,,,,,,l,,,,
mess_jacket monkey_jacket shell_jacket,waist-length jacket tapering to a point at the back; worn by officers in the mess for formal dinners,,,,,"[Synset('mess_jacket.n.01')],",,,,,,l,,,,
long_johns,warm underwear with long legs,,,,"[Synset('long_johns.n.01')],",,,,,,,l,,,,
undies,women's underwear,,,,,"[Synset('undies.n.01')]],",,,,,,h,,,,
lingerie intimate_apparel,women's underwear and nightclothes,,,,"[Synset('lingerie.n.01'),",,,,,,,h,,,,
